# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri Mar 27 16:28:44 CST 2026 [seed=1774600124362]
# -overwrite -java D:\naturedna\evoflux-reproduce\figures\reproduced\snv_beast10_prep\snv_case12_case19_beast10_treedata_proxy.xml
state	posterior	prior	likelihood	kappa	clock.rate	treeModel.rootHeight	constant.popSize
0	-643.7270188936496	0.0	-643.7270188936496	2.0	1.0	20.568967588152905	1.0
1000	-223.58341306630737	-4.232400819400189	-219.35101224690717	2.4060095105363546	0.008826054176389132	235.75796911346453	68.88240803734692
2000	-229.2642819263014	-3.366246682970042	-225.89803524333138	0.5575302997224704	0.0033553019750103222	204.01563246349224	28.96959069123057
3000	-236.70213886664496	-5.343698780343328	-231.35844008630164	1.9929053992841455	0.0013584954569682043	860.7832133644779	209.28538109212934
4000	-234.51463748469791	-5.89249749010478	-228.62213999459314	1.0866928416337531	6.536087390353912E-4	2380.5907196110497	362.3090185576637
5000	-239.25704849897926	-4.69247125377275	-234.56457724520652	1.1604222453435562	0.0010675848342287936	783.1667067159356	109.1225163010319
6000	-223.18033437402258	-4.659176509454797	-218.52115786456778	0.097920800868501	2.5759805204665084E-4	417.697277695472	105.5491276497923
7000	-225.2400846100728	-4.714014944650751	-220.52606966542206	0.6282628761802648	0.0017141414172118623	433.6359674362528	111.49892444837697
8000	-229.9247347205252	-4.501011450649026	-225.42372326987618	1.7668094674803079	0.001796573842978924	544.1231818026878	90.10822524714891
9000	-227.89990725450224	-4.440195245750282	-223.45971200875195	0.6337375685439427	0.0014240386089669243	701.2268962551874	84.79149523687398
10000	-229.35645253435095	-4.385663538388849	-224.9707889959621	0.4856839303174549	3.5662535147689366E-4	838.0124496546522	80.29148202193394
11000	-231.07584269730023	-4.964052052942749	-226.11179064435748	0.20437842144720586	3.047654511807376E-4	668.401046666146	143.1727657232838
12000	-225.81707543323847	-4.651930987103707	-221.16514444613478	0.44170754151015845	0.0014025512196361926	355.87135360309566	104.78713294467245
13000	-220.50630375620383	-3.4279653359927975	-217.07833842021103	0.8137169060301023	0.002139362512293507	283.93246592115935	30.813883025138686
14000	-228.4813658101188	-3.4862124195526527	-224.99515339056614	1.5768874286486831	0.003860649029440994	333.4630008562138	32.66200316488593
15000	-229.52892830594465	-4.42166671949985	-225.1072615864448	1.827569271863605	0.0013974469501228121	969.8076230642025	83.2348990404906
16000	-233.88239051203178	-5.637219070083222	-228.24517144194854	1.2150033014323935	8.388030480967295E-4	1222.8549472372465	280.68107772882195
17000	-229.65898427131776	-4.845508257602552	-224.81347601371522	0.2189162817284128	3.426922204248793E-4	537.4729375937992	127.16789962292923
18000	-224.00094767894944	-4.657545413316548	-219.3434022656329	0.12761268954279234	2.368623384900211E-4	681.0850180722563	105.37710720436728
19000	-232.1354665943291	-5.111329284191619	-227.0241373101375	0.5379452175279938	3.3409504249581147E-4	1254.4988375257349	165.89072429182576
20000	-241.6974497700964	-5.659533386824283	-236.03791638327212	0.4895471360160622	1.5280424004487244E-4	2484.374953385347	287.01468647131594
