SAMPLE,Evolutionary_mode,NumberMutations,MeanDepth,MutationRate_perKbs,C1,C2,C3
001-0004-11TDP,Subclonal,2860,33.45104895,0.000103901,0.431158876,0.311940245,0.216911569
004-16-01TD,Subclonal,2161,33.95002314,1.99e-05,0.490579099,0.325854562,
008-10-01TD,Neutral,2713,38.95945448,5.55e-05,0.404913635,,
009-10-01TD,Neutral,3359,33.23489134,1.64e-05,0.462666299,,
013-08-01TD,Neutral,3131,35.15490259,6.26e-05,0.458814802,,
016-11-01TD,Neutral,3908,33.14099284,1.93e-05,0.45345337,,
020-07-01TD,Subclonal,2128,33.57800752,2.58e-05,0.505931736,0.33570311,
026-09-01TD,Neutral,2680,41.38843284,6.14e-05,0.448517918,,
027-15-01TD,Neutral,1442,32.40221914,1.66e-05,0.473214743,,
029-11-01TD,Neutral,2634,31.04555809,4.21e-05,0.458555573,,
030-0067-04TDP,Neutral,3776,29.90519068,3.42e-05,0.429304563,,
044-0081-03TDP,Neutral,1888,35.21663136,5.3e-06,0.472405679,,
053-08-01TD,Neutral,3259,32.93832464,2.65e-05,0.470881994,,
056-0117-01TD,Subclonal,2222,33.75967597,2.59e-06,0.465801486,0.237044306,
083-1513-03TDP,Neutral,1425,36.09192982,6.24e-06,0.436383532,,
090-12-01TD,Neutral,3023,34.10519352,5.01e-06,0.43004507,,
115-05-01TD,Neutral,2848,34.95610955,2.36e-06,0.487066069,,
122-07-01TD,Neutral,3567,37.27502103,1.01e-05,0.487412077,,
138-05-01TD,Neutral,2017,34.95835399,2.73e-06,0.455623945,,
139-12-01TD,Neutral,2033,33.24200689,5.44e-05,0.496043501,,
179-07-01TD,Neutral,2694,32.08537491,6.11e-06,0.492796435,,
199-08-01TD,Neutral,3374,39.25607587,1.22e-05,0.475370461,,
329-08-01TD,Subclonal,3733,36.54754889,9.08e-05,0.403746097,0.244678856,
442-08-01TD,Neutral,2462,33.5016247,5.95e-06,0.428767455,,
661-13-01TD,Neutral,1577,30.59606848,7.35e-06,0.479570365,,
677-15-01TD,Neutral,2040,30.84460784,2.55e-06,0.46735295,,
853-03-02TD,Neutral,1620,39.9382716,4.87e-06,0.470667897,,
1,Neutral,1827,36.82539683,1.11e-05,0.437020357,,
10,Neutral,2664,31.21884384,4.52e-06,0.447406603,,
1056,Neutral,3326,32.03758268,1.47e-05,0.471272062,,
1059,Neutral,1745,32.54555874,5.33e-06,0.462475145,,
1076,Neutral,1351,32.56402665,1e-05,0.472605517,,
1078,Subclonal,1934,36.37021717,3.33e-05,0.492918863,0.45648551,0.262914668
110,Neutral,2629,38.53708634,3.72e-06,0.430701125,,
1101,Subclonal,1591,32.44877436,2.22e-05,0.390827848,0.201040494,
115,Neutral,3272,31.64119804,8.78e-06,0.473010017,,
1164,Subclonal,1733,42.79169071,1.87e-05,0.478013794,0.267774083,
1169,Subclonal,1455,32.62817869,3.15e-05,0.486810311,0.299947652,
1179,Neutral,1906,30.72402938,1.65e-06,0.426608157,,
