Name,chr_hg19,CG_position_hg19,strand_hg19,C_position_hg19,chr_hg38,CG_position_hg38,strand_hg38,C_position_hg38,Illumina_Type,Illumina_Islands_Name,Illumina_Relation_to_Island,Illumina_UCSC_RefGene_Name,Illumina_UCSC_RefGene_Accession,Illumina_UCSC_RefGene_Group,Illumina_Regulatory_Feature_Group,GencodeBasicV12_NAME,GencodeBasicV12_Accession,GencodeBasicV12_Group,GencodeCompV12_NAME,GencodeCompV12_Accession,GencodeCompV12_Group,Array_450k,Array_EPIC.v1,Array_Methyl27_Loci,Array_EPIC.v2
cg01768082,chr1,946875,+,946875,chr1,1011495.0,+,1011495.0,II,chr1:948670-948894,N_Shore,,,,,,,,,,,True,True,,1.0
cg16526047,chr1,949893,+,949893,chr1,1014513.0,+,1014513.0,II,chr1:948670-948894,S_Shore,ISG15,NM_005101,3'UTR,Promoter_Associated,RP11-54O7.11;ISG15,ENST00000458555.1;ENST00000379389.4,TSS1500;3'UTR,RP11-54O7.11;ISG15,ENST00000458555.1;ENST00000379389.4,TSS1500;3'UTR,True,True,,1.0
cg10126324,chr1,1052600,+,1052600,chr1,1117220.0,+,1117220.0,I,chr1:1050515-1050830,S_Shore,C1orf159,NM_017891,TSS1500,,C1orf159;C1orf159;C1orf159,ENST00000379339.1;ENST00000421241.2;ENST00000457999.1,TSS1500;TSS1500;TSS1500,C1orf159;C1orf159;C1orf159;C1orf159;C1orf159;C1orf159;C1orf159;C1orf159,ENST00000379339.1;ENST00000472741.1;ENST00000467751.1;ENST00000379325.3;ENST00000421241.2;ENST00000482816.1;ENST00000448924.1;ENST00000475119.1,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500,True,True,,0.0
cg06036677,chr1,1052664,+,1052664,chr1,1117284.0,+,1117284.0,II,chr1:1050515-1050830,S_Shore,C1orf159,NM_017891,TSS1500,,C1orf159;C1orf159;C1orf159,ENST00000379339.1;ENST00000421241.2;ENST00000457999.1,TSS1500;TSS1500;TSS1500,C1orf159;C1orf159;C1orf159;C1orf159;C1orf159;C1orf159;C1orf159;C1orf159,ENST00000379339.1;ENST00000472741.1;ENST00000467751.1;ENST00000379325.3;ENST00000421241.2;ENST00000482816.1;ENST00000448924.1;ENST00000475119.1,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500,True,True,,1.0
cg17132079,chr1,1294140,+,1294140,chr1,1358760.0,+,1358760.0,II,chr1:1289707-1291126,S_Shelf,MXRA8,NM_032348,TSS1500,,MXRA8;MXRA8;MXRA8,ENST00000309212.6;ENST00000342753.4;ENST00000445648.2,TSS1500;TSS1500;TSS1500,MXRA8;MXRA8;MXRA8,ENST00000309212.6;ENST00000342753.4;ENST00000445648.2,TSS1500;TSS1500;TSS1500,True,True,,1.0
cg13354934,chr1,1296093,+,1296093,chr1,1360713.0,+,1360713.0,II,,OpenSea,,,,Unclassified_Cell_type_specific,,,,,,,True,True,,1.0
cg09368716,chr1,1361655,+,1361655,chr1,1426275.0,+,1426275.0,I,chr1:1361560-1361787,Island,TMEM88B,NM_001146685,1stExon,,RP4-758J18.8;TMEM88B,ENST00000439191.1;ENST00000378821.3,3'UTR;1stExon,RP4-758J18.8;TMEM88B,ENST00000439191.1;ENST00000378821.3,3'UTR;1stExon,True,True,,1.0
cg12208770,chr1,1361666,+,1361666,chr1,1426286.0,+,1426286.0,II,chr1:1361560-1361787,Island,TMEM88B,NM_001146685,1stExon,,RP4-758J18.8;TMEM88B,ENST00000439191.1;ENST00000378821.3,3'UTR;1stExon,RP4-758J18.8;TMEM88B,ENST00000439191.1;ENST00000378821.3,3'UTR;1stExon,True,True,,1.0
cg26863172,chr1,1361729,+,1361729,chr1,1426349.0,+,1426349.0,I,chr1:1361560-1361787,Island,TMEM88B,NM_001146685,1stExon,,RP4-758J18.8;TMEM88B,ENST00000439191.1;ENST00000378821.3,3'UTR;1stExon,RP4-758J18.8;TMEM88B,ENST00000439191.1;ENST00000378821.3,3'UTR;1stExon,True,True,,0.0
cg23288755,chr1,1957320,+,1957320,chr1,2025881.0,+,2025881.0,II,chr1:1957046-1957386,Island,GABRD,NM_000815,Body,Unclassified_Cell_type_specific,,,,,,,True,True,,1.0
cg06770735,chr1,11840031,+,11840031,chr1,11779974.0,+,11779974.0,II,,OpenSea,,,,Unclassified_Cell_type_specific,RP11-56N19.5,ENST00000376620.3,TSS1500,C1orf167;RP11-56N19.5,ENST00000449278.1;ENST00000376620.3,1stExon;TSS1500,True,True,,1.0
cg20312132,chr1,16495441,+,16495441,chr1,16168946.0,+,16168946.0,II,chr1:16494061-16494505,S_Shore,,,,Unclassified_Cell_type_specific,,,,,,,True,True,,1.0
cg26220594,chr1,19110978,+,19110978,chr1,18784484.0,+,18784484.0,I,chr1:19110720-19110932,S_Shore,,,,,,,,,,,True,True,,1.0
