cpg_id,SCLL-545,SCLL-546,SCLL-547,SCLL-548,SCLL-493,SCLL-494,SCLL-531,SCLL-532,SCLL-533
cg00405069,0.166361564,0.222052691,0.248007897,0.171302777,0.52954157,0.464677913,0.484944836,0.477123638,0.509186078
cg00597687,0.453193502,0.498738099,0.522701518,0.734898418,0.362935605,0.30669403,0.311291583,0.183013268,0.479718985
cg00729875,0.512722526,0.776756674,0.753404401,0.853963507,0.721097679,0.757577326,0.805146597,0.543817332,0.778142346
cg01730064,0.700615171,0.506191146,0.570141749,0.355354133,0.246057326,0.116874978,0.065972988,0.085450423,0.060823151
cg01768082,0.916438132,0.919157074,0.902527013,0.911978749,0.892372746,0.926871409,0.937967007,0.919826743,0.898761707
cg01811796,0.546617957,0.537515167,0.525513073,0.529626803,0.572267806,0.574796032,0.587022664,0.535478145,0.572762683
cg01815720,0.170291065,0.239818384,0.226747992,0.541786692,0.700640873,0.74377006,0.875042781,0.757842298,0.903913683
cg01894875,0.477525299,0.508385747,0.538758552,0.403213266,0.530422751,0.482044183,0.557451285,0.490566459,0.597928899
cg01963297,0.448245894,0.482958281,0.502092463,0.634776929,0.720933513,0.738502386,0.790987588,0.717276724,0.781981034
cg02012159,0.480078887,0.521919964,0.505591479,0.182578012,0.854465665,0.917108111,0.93917458,0.905854945,0.702299169
cg02605776,0.620206036,0.87923416,0.856807361,0.618612862,0.774603253,0.842815192,0.929517064,0.894437364,0.864242191
cg02851558,0.7561356,0.722782415,0.739167104,0.7944887,0.502118325,0.452798512,0.493985022,0.478654895,0.46677321
cg03390245,0.137486445,0.229841921,0.265302698,0.188621817,0.318455011,0.202800719,0.153210717,0.233804403,0.129083164
cg03948781,0.08056762,0.289775261,0.288561742,0.186207988,0.474759766,0.428157099,0.42558846,0.47520481,0.395140727
cg04415780,0.835919055,0.855456394,0.843159264,0.605257841,0.493459636,0.489939848,0.516196072,0.477836839,0.879317558
cg04673462,0.827467105,0.823632753,0.834188808,0.82915573,0.588574327,0.542470509,0.53782099,0.49774273,0.535677985
cg04843111,0.17697501,0.340164754,0.368260754,0.362363215,0.464197318,0.33684708,0.397463454,0.372085978,0.132251052
cg04896168,0.568939962,0.621949838,0.579568927,0.415993489,0.599651463,0.612580619,0.559408916,0.581941582,0.508962445
cg05129477,0.56734943,0.552825185,0.555850773,0.398968031,0.538582305,0.508961083,0.57438052,0.498238096,0.050783153
cg05694621,0.054516051,0.111001165,0.115422887,0.066995416,0.540862822,0.501677521,0.478815069,0.500222169,0.445215903
cg05821046,0.939859021,0.944893656,0.937454074,0.943640006,0.198226326,0.0765162,0.057667116,0.074126725,0.040473608
cg05843457,0.920712362,0.84327436,0.844939315,0.850171856,0.233158881,0.112686408,0.037410121,0.080878738,0.033519336
cg06036677,0.062082147,0.159464325,0.214906127,0.077127338,0.270935869,0.316191855,0.217546741,0.183030625,0.140569049
cg06320401,0.598027178,0.446497829,0.434600798,0.294345369,0.758837762,0.82163707,0.852598152,0.706393076,0.582175256
cg06770735,0.563018764,0.496701517,0.504866279,0.390559874,0.548000213,0.461240305,0.481657457,0.44311318,0.44359608
cg06775570,0.870586301,0.831480534,0.808721049,0.822620088,0.51760353,0.452825072,0.597751943,0.514446657,0.618856948
cg06939851,0.823353388,0.640431697,0.680698657,0.559680362,0.531293839,0.567630739,0.573059393,0.594285233,0.545756939
cg07580762,0.700924043,0.512755891,0.545251134,0.540716714,0.327659352,0.260920946,0.235656631,0.086961535,0.04228574
cg07981328,0.950873194,0.953781991,0.952807333,0.965026029,0.405361463,0.376997693,0.463465226,0.484913865,0.408287405
cg08133631,0.917763385,0.676880644,0.668878121,0.657542493,0.446855736,0.450682152,0.468300879,0.451704287,0.474771277
cg08134856,0.721469584,0.568346643,0.580031494,0.544780006,0.550766487,0.552960858,0.628877386,0.709600209,0.624531796
cg08477332,0.87174816,0.883998487,0.88989002,0.747628403,0.822281341,0.803779283,0.895494011,0.876055315,0.9079481
cg08706567,0.091911629,0.178671804,0.227324002,0.136418459,0.343629793,0.20636539,0.040872758,0.154611006,0.055892299
cg08808724,0.586065971,0.685472866,0.660937071,0.608501343,0.870475619,0.917185503,0.939032841,0.924991767,0.945666737
cg09037777,0.449008729,0.463534605,0.496146544,0.495333801,0.566213948,0.40987805,0.515252308,0.717802558,0.243566183
cg09368716,0.462240913,0.670219451,0.683780313,0.605885416,0.606305928,0.608972422,0.605779194,0.597585538,0.782693163
cg09815769,0.562657741,0.427540719,0.401494456,0.578116418,0.178030087,0.071351449,0.03537032,0.079215371,0.035927844
cg09847153,0.920051285,0.88739406,0.93343975,0.933644478,0.436203685,0.432322117,0.474554855,0.387828976,0.511407397
cg10092377,0.672260404,0.840112924,0.843952419,0.907545369,0.266749941,0.22485585,0.33266052,0.382774149,0.346012069
cg10126324,0.15449045,0.220810629,0.212192494,0.129938775,0.185552493,0.165366726,0.175052594,0.198749031,0.167448066
cg10593400,0.080988151,0.114364031,0.137779422,0.250993608,0.560380112,0.656438744,0.561607029,0.597354229,0.541332264
cg10963061,0.866120666,0.821816073,0.811761195,0.892498703,0.196037907,0.053978766,0.104554749,0.124962888,0.147980527
cg12051614,0.821220426,0.800441906,0.782124604,0.826585623,0.789766848,0.814227852,0.870060386,0.826204545,0.884643997
cg12208770,0.651366264,0.66551626,0.65315317,0.505347976,0.573049433,0.524783268,0.471739839,0.453096806,0.469011072
cg12410921,0.804708113,0.719390119,0.667170137,0.780894353,0.768613551,0.826920934,0.845108414,0.824637968,0.864818513
cg12726839,0.598062969,0.680544044,0.719287791,0.537672696,0.208383824,0.134309133,0.067440308,0.171344045,0.058930103
cg13229857,0.533625212,0.549595341,0.517952123,0.52453406,0.736497318,0.77927504,0.800645543,0.662398664,0.118970522
cg13354934,0.538554662,0.63963143,0.637183141,0.791214974,0.230218769,0.139323019,0.075544314,0.071958604,0.060586158
cg13393721,0.125296123,0.202030418,0.234440749,0.149291096,0.368462479,0.232190944,0.078088968,0.157446175,0.057717433
cg13885623,0.474549379,0.45277964,0.425360003,0.534105812,0.503613095,0.474570299,0.488836389,0.450792768,0.519240711
cg13986762,0.506300321,0.530027785,0.544968904,0.739888518,0.215562268,0.14644093,0.106500578,0.178284191,0.52433305
cg14076729,0.213799308,0.451906174,0.452392274,0.553149362,0.286417883,0.213465403,0.121473468,0.202715901,0.156369454
cg14099468,0.484109573,0.492776481,0.538928676,0.55002932,0.845198703,0.935242547,0.929859842,0.907809413,0.91847746
cg14159672,0.459751068,0.490343062,0.489787269,0.496702356,0.587810514,0.568062236,0.530410395,0.494679733,0.528672617
cg14523898,0.785722875,0.603750002,0.635878374,0.351573254,0.224980416,0.098254608,0.04627256,0.07078431,0.055756128
cg14893161,0.349604911,0.34713689,0.375439973,0.386240858,0.43716206,0.418704976,0.42991856,0.384098501,0.436084894
cg15546227,0.546788892,0.524031023,0.537298258,0.544101667,0.310458612,0.187133382,0.156867193,0.456246401,0.126086388
cg15986668,0.876164314,0.896959373,0.853436289,0.861833257,0.562891753,0.60163595,0.58035098,0.535197657,0.098955981
cg16029875,0.239141585,0.293860426,0.304922095,0.246978888,0.320157134,0.335852497,0.369481606,0.265845865,0.503252876
